ISIN,Bond Code,Issuer,Bond Type,Issue Date,Latest Rating
CND10007C4N2,239983,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/12/22,---
CND10007C3L8,239982,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/12/22,---
CND10007C3M6,230028,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/12/22,---
CND10007C3B9,239981,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/12/15,---
CND10007C2Y3,239980,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/12/14,---
CND1000776R0,230027,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/12/14,---
CND1000776S8,239979,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/12/8,---
CND1000775V4,239978,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/12/6,---
CND1000774F0,239977,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/12/1,---
CND1000764D6,239976,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/12/1,---
CND100076488,239975,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/11/24,---
CND100076348,230026,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/11/24,---
CND1000762Z3,239974,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/11/17,---
CND100076280,239973,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/11/17,---
CND100074JJ4,230025,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/11/14,---
CND100074JG0,239972,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/11/10,---
CND100074JL0,239970,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/11/8,---
CND100074JK2,239971,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/11/8,---
CND100074JM8,239969,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/11/8,---
CND100074J10,239968,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/11/3,---
CND100074DX8,239967,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/10/27,---
CND100072HK0,239966,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/10/27,---
CND100072G72,230024,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/10/24,---
CND100072H97,239965,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/10/20,---
CND100072FF4,239964,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/10/20,---
CND100072DF9,239963,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/10/13,---
CND1000716X4,230023,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/10/13,---
CND1000716Y2,230022,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/10/13,---
CND100072D00,239962,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/10/11,---
CND100072CZ9,239961,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/10/11,---
CND100070BW2,239960,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/9/22,---
CND10006ZK08,230021,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/9/22,---
CND10006ZK16,230020,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/9/22,---
CND10006ZK24,239959,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/9/22,---
CND1000709B5,239958,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/9/15,---
CND10006ZG95,230019,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/9/14,---
CND10006ZG87,239957,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/9/8,---
CND10006Z0R5,239956,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/9/6,---
CND10006Z0Q7,239955,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/9/6,---
CND10006YXR2,239954,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/9/1,---
CND10006WZW1,239953,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/9/1,---
CND10006WPD2,239952,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/8/25,---
CND10006VRW0,239951,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/8/25,---
CND10006VQZ5,230018,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/8/24,---
CND10006VR05,239950,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/8/18,---
CND10006VNH0,230017,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/8/14,---
CND10006VPQ6,239949,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/8/11,---
CND10006VNZ2,239947,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/8/9,---
CND10006VNY5,239948,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/8/9,---
CND10006VC36,239946,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/8/4,---
CND10006V9L3,239945,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/8/4,---
CND10006V0Z2,239944,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/7/28,---
CND10006S9G8,230016,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/7/24,---
CND10006SSF9,239943,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/7/21,---
CND10006RXQ8,239942,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/7/14,---
CND10006PJH0,230015,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/7/14,---
CND10006PJG2,239941,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/7/14,---
CND10006NHK3,239940,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/7/7,---
CND10006NHL1,239939,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/7/5,---
CND10006NHM9,239938,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/7/5,---
CND10006KWD3,230014,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/6/21,---
CND10006M698,239937,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/6/16,---
CND10006JM06,230013,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/6/14,---
CND10006K5N0,239936,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/6/9,---
CND10006JD64,239935,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/6/9,---
CND10006JLY4,239934,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/6/7,---
CND10006JLZ1,239933,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/6/7,---
CND10006JDS3,239932,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/6/2,---
CND10006HB01,239931,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/5/26,---
CND10006GPT1,230012,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/5/24,---
CND10006GQF8,239930,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/5/19,---
CND10006G542,239929,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/5/12,---
CND10006FNG5,230011,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/5/12,---
CND10006FQJ2,239928,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/5/10,---
CND10006FQK0,239927,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/5/10,---
CND10006DR07,239926,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/5/5,---
CND10006C988,239925,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/5/5,---
CND10006BDM3,230010,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/4/24,---
CND10006BG93,239924,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/4/21,---
CND10006BCN3,239923,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/4/21,---
CND10006BC89,239922,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/4/14,---
CND100069PK9,230009,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/4/14,---
CND100069PL7,230008,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/4/14,---
CND10006BBV8,239920,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/4/12,---
CND10006BBT2,239921,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/4/12,---
CND100069P27,239919,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/4/7,---
CND1000682G3,239918,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/3/24,---
CND100067586,230007,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/3/24,---
CND100067578,230006,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/3/24,---
CND100067552,239917,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/3/17,---
CND1000652C5,230005,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/3/14,---
CND1000652Y9,239916,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/3/10,---
CND1000652D3,239915,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/3/8,---
CND1000652F8,239914,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/3/8,---
CND1000651L8,239913,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/3/3,---
CND100064S52,239912,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/3/3,---
CND100064RF6,239911,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/2/24,---
CND100063XD1,230004,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/2/24,---
CND100063PG0,239910,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/2/17,---
CND1000639M1,230003,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/2/14,---
CND1000639H1,239909,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/2/10,---
CND1000620Q2,239907,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/2/8,---
CND1000620P4,239908,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/2/8,---
CND100061ZY6,239906,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/2/3,---
CND100060110,239905,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/2/3,---
CND10005ZVC7,239904,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/1/13,---
CND10005ZT18,230002,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/1/13,---
CND10005ZT00,239903,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/1/13,---
CND10005ZT26,230001,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/1/13,---
CND10005ZTL2,239902,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/1/11,---
CND10005ZTM0,239901,Ministry of Finance of the People¡¯s Republic of China,Treasury Bond,2023/1/11,---
